"Agua 50cl","27186","0200530001007","5970165_2059275"
"Ensalada 4 estaciones","69706","0202070301888","11013562_2058534"
"Atún en escabeche","18007","0200106100092","900782_2058535"
"Aceitunas rellenas","33071","0200440800357","4534228_2058537"
"Pepinillos","33184","0200440900231","945469_2058537"
"Pizza","63573","0201050400199","505677_2058534"
"ColaCao","","0200246400147","10372803_2058536"
"Leche Tierra de sabor","10114","0200412200461","15132368_2058532"
"Cereales All bran chocolate","9336","0200234100063","3334406_2058536"
"Cereales Golden Grahams","","0200241600360","300954_2058536"
"Aquarius libre","","0200523901536","13148630_2059275"
"Huevos","31310","0201040100677","11148202_2058532"
"Pan de molde","82369","0200254801194","305540_2058536"
"Jamón lonchas","59157","0201030700221","10868024_2058531"
"Pavo lonchas","56003","0201030800146","7058209_2058531"
"Naranjas","3213","0202056702059",""
"Cerveza con limón","27387","0200505501577","13252192_2059275"
"Actimel 0%","020656","0201023200742","8932279_2058532"
"Papel de cocina","49619","0201422200863","14339881_2058542"
"Servilletas","47611","0201422304178","8710691_2058542"
"Pilas recargables AA","93442","0202310200601","12165205_2058542"
"Detergente","40672","0201410303885","14369029_2058542"
